Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.50      0.01     0.01 18000015     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
 12.50      0.02     0.01 18000015     0.00     0.00  std::allocator<double>::~allocator()
 12.50      0.03     0.01  9500007     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
 12.50      0.04     0.01  3500005     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
 12.50      0.05     0.01  3500005     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
 12.50      0.06     0.01  2000001     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag)
 12.50      0.07     0.01  2000000     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
 12.50      0.08     0.01  1000001     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.08     0.00 21000016     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.08     0.00 18000001     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.08     0.00 17500012     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.08     0.00 14500011     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.08     0.00 13000012     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.08     0.00 13000012     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.08     0.00 13000011     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.08     0.00 12000004     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.08     0.00 11500008     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.08     0.00 10000002     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.08     0.00  9500007     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      0.08     0.00  9500007     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.08     0.00  9500007     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.08     0.00  9500007     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      0.08     0.00  9500007     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      0.08     0.00  8000000     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.08     0.00  7500007     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.08     0.00  7500007     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.08     0.00  7500007     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.08     0.00  7500007     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.08     0.00  7500007     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      0.08     0.00  7500007     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.08     0.00  7000006     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.08     0.00  7000004     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.08     0.00  7000004     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      0.08     0.00  6500006     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.08     0.00  5500006     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      0.08     0.00  5500006     0.00     0.00  double* std::__niter_wrap<double*>(double* const&, double*)
