Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  5.41      0.04     0.04  9500007     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  4.06      0.07     0.03 18000001     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  4.06      0.10     0.03 13000011     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  4.06      0.13     0.03  7500007     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  4.06      0.16     0.03  4500005     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  2.70      0.18     0.02 13000012     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  2.70      0.20     0.02 13000012     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  2.70      0.22     0.02 12000004     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  2.70      0.24     0.02 11500008     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  2.70      0.26     0.02  7000004     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  2.70      0.28     0.02  4000002     0.00     0.00  std::vector<double, std::allocator<double> >::_S_do_relocate(double*, double*, double*, std::allocator<double>&, std::integral_constant<bool, true>)
  2.70      0.30     0.02  4000002     0.00     0.00  double* std::__relocate_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  2.70      0.32     0.02  3500005     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  2.70      0.34     0.02  3500005     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  2.70      0.36     0.02  2500004     0.00     0.00  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  2.70      0.38     0.02  2000001     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag)
  2.70      0.40     0.02  2000000     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  2.70      0.42     0.02        1    20.01   740.25  Implicit::solve()
  2.03      0.44     0.02  9500007     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  1.35      0.45     0.01 18000015     0.00     0.00  std::allocator<double>::~allocator()
  1.35      0.46     0.01  9500007     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  1.35      0.47     0.01  7500007     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  1.35      0.48     0.01  7500007     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  1.35      0.49     0.01  7000006     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  1.35      0.50     0.01  5500006     0.00     0.00  double* std::__niter_wrap<double*>(double* const&, double*)
  1.35      0.51     0.01  5000012     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  1.35      0.52     0.01  5000010     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  1.35      0.53     0.01  5000008     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  1.35      0.54     0.01  5000008     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  1.35      0.55     0.01  5000001     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  1.35      0.56     0.01  4000002     0.00     0.00  double const* std::__niter_base<double const*>(double const*)
  1.35      0.57     0.01  3000001     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  1.35      0.58     0.01  2500005     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  1.35      0.59     0.01  2500004     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  1.35      0.60     0.01  2500004     0.00     0.00  double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  1.35      0.61     0.01  2500004     0.00     0.00  double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  1.35      0.62     0.01  2000001     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  1.35      0.63     0.01  2000001     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  1.35      0.64     0.01  2000001     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<double const*, double*>(double const*, double const*, double*)
  1.35      0.65     0.01  2000001     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::initializer_list<double>, std::allocator<double> const&)
  1.35      0.66     0.01  2000001     0.00     0.00  double* std::__uninitialized_copy_a<double const*, double*, double>(double const*, double const*, double*, std::allocator<double>&)
  1.35      0.67     0.01  2000001     0.00     0.00  double* std::copy<double const*, double*>(double const*, double const*, double*)
  1.35      0.68     0.01  2000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator-(long) const
  1.35      0.69     0.01  2000000     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::operator()(std::vector<double, std::allocator<double> >) const
  1.35      0.70     0.01  2000000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data&&)
  1.35      0.71     0.01  2000000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::_Vector_base<double, std::allocator<double> >&&)
  1.35      0.72     0.01  2000000     0.00     0.00  double& std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  1.35      0.73     0.01  2000000     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.68      0.73     0.01 21000016     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.68      0.74     0.01  7500007     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.68      0.74     0.01  3000002     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
  0.00      0.74     0.00 18000015     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.74     0.00 17500012     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.74     0.00 14500011     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.74     0.00 10000002     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
